Data;Precipitacao;TemperaturaMaxima;TemperaturaMinima;UmidadeRelativa;CasosDengue
31/01/2015;46.6;35.9;23.5;50.2;15
28/02/2015;84.3;34.8;23.6;64.4;13
31/03/2015;;;;;64
30/04/2015;41.3;33.7;22.3;67.5;205
31/05/2015;19.7;34.3;21.4;56.2;97
30/06/2015;;;;;44
31/07/2015;0.1;34.8;22.2;42.8;6
31/08/2015;0.1;36.1;21.6;42.8;22
30/09/2015;0.6;38.6;23.6;39.6;
31/10/2015;3.4;38.9;25.9;40.9;1
30/11/2015;0.6;39.3;26.6;39.6;3
31/12/2015;;;;;5
31/01/2016;333.4;33.1;23.5;75.1;10
29/02/2016;86.3;35.2;22.7;68.7;12
31/03/2016;97.1;35.1;23.4;73.4;17
30/04/2016;5.9;36.2;23.6;62.3;91
31/05/2016;32.6;36.5;23.2;55.9;37
30/06/2016;0.1;35.3;21.6;54.4;15
31/07/2016;0.1;35.5;20.2;47.3;15
31/08/2016;0.1;36.6;21.2;43.1;9
30/09/2016;7.7;37.7;24.6;44.3;9
31/10/2016;8.8;38.6;25.1;41.6;6
30/11/2016;10.3;38.6;26.3;43.7;3
31/12/2016;;;;;4
31/01/2017;48.6;35.9;24.1;63.5;8
28/02/2017;80.5;33.2;23.6;79.9;5
31/03/2017;92.6;33.1;22.8;84.3;3
30/04/2017;46.7;35.3;22.3;71.6;5
31/05/2017;26.3;36.1;23.6;56.2;50
30/06/2017;2.6;34.3;22.6;56.3;83
31/07/2017;0.1;33.2;21.3;51.1;7
31/08/2017;0.1;36.1;21.8;44.2;17
30/09/2017;0.1;36.7;22.5;42.7;29
31/10/2017;0.1;38.5;25.9;41.6;3
30/11/2017;4.8;38.2;26.6;46.6;
31/12/2017;;;;;
31/01/2018;107.8;34.8;23.2;72.8;1
28/02/2018;143.6;32.4;23.7;84.6;
31/03/2018;156.7;33.6;23.8;82.7;
30/04/2018;74.6;32.3;22.5;78.4;3
31/05/2018;0.1;33.1;21.6;61.3;2
30/06/2018;0.1;34.5;21.6;54.3;6
31/07/2018;0.1;34.1;20.9;53.4;3
31/08/2018;0.1;36.7;22.8;49.6;3
30/09/2018;0.1;37.6;24.6;45.5;2
31/10/2018;25.1;37.1;25.9;45.2;7
30/11/2018;;;;;
31/12/2018;172.6;33.5;22.2;78.2;
31/01/2019;68.5;34.3;22.3;74.3;
28/02/2019;201.8;34.2;22.1;81.6;
31/03/2019;180.5;33.5;22.8;79.4;
30/04/2019;172.8;33.7;22.8;76.6;5
31/05/2019;30.8;34.9;22.1;63.6;71
30/06/2019;8.2;33.4;20.9;49.5;124
31/07/2019;;;;;92
31/08/2019;0.1;34.5;21.3;44.6;31
30/09/2019;0.1;37.7;23.3;44.2;8
31/10/2019;;;;;
30/11/2019;;;;;1
31/12/2019;5.6;;;;
