Data,Precipitacao,TemperaturaMaxima,TemperaturaMinima,UmidadeRelativa,CasosDengue
2015-01-31,46.6,35.9,23.5,50.2,15
2015-02-28,84.3,34.8,23.6,64.4,13
2015-03-31,47.6,35.4,23.2,58.2,64
2015-04-30,41.3,33.7,22.3,67.5,205
2015-05-31,19.7,34.3,21.4,56.2,97
2015-06-30,47.6,35.6,23.2,58.2,44
2015-07-31,0.1,34.8,22.2,42.8,6
2015-08-31,0.1,36.1,21.6,42.8,22
2015-09-30,0.6,38.6,23.6,39.6,26
2015-10-31,3.4,38.9,25.9,40.9,1
2015-11-30,0.6,39.3,26.6,39.6,3
2015-12-31,47.6,35.4,23.2,58.2,5
2016-01-31,333.4,33.1,23.5,75.1,10
2016-02-29,86.3,35.2,22.7,68.7,12
2016-03-31,97.1,35.1,23.4,73.4,17
2016-04-30,5.9,36.2,23.6,62.3,91
2016-05-31,32.6,36.5,23.2,55.9,37
2016-06-30,0.1,35.3,21.6,54.4,15
2016-07-31,0.1,35.5,20.2,47.3,15
2016-08-31,0.1,36.6,21.2,43.1,9
2016-09-30,7.7,37.7,24.6,44.3,9
2016-10-31,8.8,38.6,25.1,41.6,6
2016-11-30,10.3,38.6,26.3,43.7,3
2016-12-31,47.6,35.6,23.2,58.2,4
2017-01-31,48.6,35.9,24.1,63.5,8
2017-02-28,80.5,33.2,23.6,79.9,5
2017-03-31,92.6,33.1,22.8,84.3,3
2017-04-30,46.7,35.3,22.3,71.6,5
2017-05-31,26.3,36.1,23.6,56.2,50
2017-06-30,2.6,34.3,22.6,56.3,83
2017-07-31,0.1,33.2,21.3,51.1,7
2017-08-31,0.1,36.1,21.8,44.2,17
2017-09-30,0.1,36.7,22.5,42.7,29
2017-10-31,0.1,38.5,25.9,41.6,3
2017-11-30,4.8,38.2,26.6,46.6,26
2017-12-31,47.6,35.6,23.2,58.2,26
2018-01-31,107.8,34.8,23.2,72.8,1
2018-02-28,143.6,32.4,23.7,84.6,26
2018-03-31,156.7,33.6,23.8,82.7,26
2018-04-30,74.6,32.3,22.5,78.4,3
2018-05-31,0.1,33.1,21.6,61.3,2
2018-06-30,0.1,34.5,21.6,54.3,6
2018-07-31,0.1,34.1,20.9,53.4,3
2018-08-31,0.1,36.7,22.8,49.6,3
2018-09-30,0.1,37.6,24.6,45.5,2
2018-10-31,25.1,37.1,25.9,45.2,7
2018-11-30,47.5,35.4,23.2,58.2,26
2018-12-31,172.6,33.5,22.2,78.2,26
2019-01-31,68.5,34.3,22.3,74.3,26
2019-02-28,201.8,34.2,22.1,81.6,26
2019-03-31,180.5,33.5,22.8,79.4,26
2019-04-30,172.8,33.7,22.8,76.6,5
2019-05-31,30.8,34.9,22.1,63.6,71
2019-06-30,8.2,33.4,20.9,49.5,124
2019-07-31,47.6,35.6,23.2,58.2,92
2019-08-31,0.1,34.5,21.3,44.6,31
2019-09-30,0.1,37.7,23.3,44.2,8
2019-10-31,47.6,35.6,23.2,58.2,26
2019-11-30,47.6,35.6,23.2,58.2,1
2019-12-31,5.6,35.4,23.2,58.2,26
